iter	Logloss	Accuracy
0	0.6819337567	0.7590121184
1	0.670095988	0.7630004602
2	0.6584740606	0.7751188833
3	0.6502592733	0.771437337
4	0.640221784	0.7734315079
5	0.6319956854	0.7657616199
6	0.6239315172	0.7665286087
7	0.6158795498	0.7722043258
8	0.6080132944	0.7737383034
9	0.6021560993	0.7748120877
10	0.5943053208	0.7745052922
11	0.5877912864	0.7771130541
12	0.5813835177	0.777880043
13	0.5760095283	0.7772664519
14	0.5706813297	0.7774198497
15	0.5650395108	0.7786470318
16	0.5597132672	0.7797208161
17	0.5554999502	0.7777266452
18	0.5509653165	0.7777266452
19	0.5467921754	0.7800276116
20	0.5435620902	0.7838625556
21	0.5382266363	0.7852431355
22	0.5343791395	0.7869305108
23	0.5320752199	0.7884644884
24	0.5283063037	0.7883110907
25	0.5244959296	0.7892314772
26	0.5213695554	0.7896916705
27	0.5182507557	0.7901518638
28	0.5145976448	0.7929130235
29	0.5124434249	0.7936800123
30	0.5100883018	0.7935266145
31	0.5070416142	0.79383341
32	0.5043478483	0.7898450683
33	0.5015388067	0.7939868078
34	0.4989071465	0.793219819
35	0.4970363144	0.7906120571
36	0.4947999385	0.7906120571
37	0.4928429884	0.7942936033
38	0.4913635524	0.7939868078
39	0.4898506595	0.7942936033
40	0.4874384216	0.7952139899
41	0.4856737697	0.7950605921
42	0.4836893259	0.7962877742
43	0.4821242856	0.7959809787
44	0.4803934374	0.796441172
45	0.4789571457	0.796441172
46	0.4770528646	0.7973615585
47	0.476029812	0.7973615585
48	0.4744596258	0.797668354
49	0.4729498092	0.7979751496
50	0.470874938	0.7975149563
51	0.4697218587	0.7984353428
52	0.4686792038	0.7981285473
53	0.4671209274	0.7982819451
54	0.4664226478	0.7984353428
55	0.4651132575	0.7990489339
56	0.4638552498	0.7990489339
57	0.4624967919	0.7988955361
58	0.4614896341	0.7988955361
59	0.4598559799	0.7993557294
60	0.4583490353	0.8001227182
61	0.4572597271	0.7999693204
62	0.4562999241	0.8001227182
63	0.4556949108	0.7999693204
64	0.4542643818	0.8005829115
65	0.453423022	0.7998159227
66	0.4520022043	0.7999693204
67	0.4514745904	0.7995091272
68	0.4504394051	0.7999693204
69	0.4495112975	0.7995091272
70	0.4486870898	0.7996625249
71	0.4481043375	0.7998159227
72	0.4471013994	0.7999693204
73	0.446574691	0.7999693204
74	0.4459662349	0.7998159227
75	0.444638874	0.8019634913
76	0.44417555	0.8019634913
77	0.4433502888	0.8011965025
78	0.4427114705	0.8015032981
79	0.4423200969	0.8019634913
80	0.4417403038	0.8018100936
81	0.4410878734	0.8013499003
82	0.440294202	0.8024236846
83	0.4393508366	0.8030372757
84	0.4387744178	0.8025770824
85	0.4379982689	0.8031906734
86	0.4372277471	0.8031906734
87	0.4366206675	0.8031906734
88	0.4362660076	0.8038042645
89	0.4357758012	0.8036508667
90	0.435216	0.8038042645
91	0.4344358832	0.8039576622
92	0.4338141755	0.8038042645
93	0.4331772976	0.8039576622
94	0.4325664414	0.80411106
95	0.4320733584	0.8045712533
96	0.4316536091	0.8051848443
97	0.4310448771	0.8053382421
98	0.4305030581	0.8051848443
99	0.4300551305	0.8053382421
100	0.4291960531	0.8050314465
101	0.4285120539	0.8051848443
102	0.4280477765	0.8048780488
103	0.4274430204	0.8051848443
104	0.4269457149	0.8048780488
105	0.4263940389	0.8056450376
106	0.4259886638	0.8051848443
